X,Y,Name,timestamp,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6
76.844002,8.600027,0,2024/04/26 07:53:02+00,Longitude: 76.844002,Latitude: 8.600027,Heading: 81.2,Time: 2024-04-26T07:53:02Z,,
76.843867,8.600209,-1,2024/04/26 07:53:03+00,Longitude: 76.843867,Latitude: 8.600209,Speed: 55.2 mph,Heading: 323.8,Time: 2024-04-26T07:53:03Z,
76.843867,8.600209,-2,2024/04/26 07:53:04+00,Longitude: 76.843867,Latitude: 8.600209,Altitude: 71.194 ft,Speed: 56.3 mph,Heading: 0.0,Time: 2024-04-26T07:53:04Z
76.843731,8.600393,-3,2024/04/26 07:53:05+00,Longitude: 76.843731,Latitude: 8.600393,Altitude: 68.570 ft,Speed: 56.9 mph,Heading: 323.8,Time: 2024-04-26T07:53:05Z
76.843597,8.600582,-4,2024/04/26 07:53:06+00,Longitude: 76.843597,Latitude: 8.600582,Altitude: 68.241 ft,Speed: 57.8 mph,Heading: 325.0,Time: 2024-04-26T07:53:06Z
76.843463,8.600773,-5,2024/04/26 07:53:07+00,Longitude: 76.843463,Latitude: 8.600773,Altitude: 67.585 ft,Speed: 56.6 mph,Heading: 325.2,Time: 2024-04-26T07:53:07Z
76.843328,8.600963,-6,2024/04/26 07:53:08+00,Longitude: 76.843328,Latitude: 8.600963,Altitude: 65.617 ft,Speed: 57.9 mph,Heading: 324.9,Time: 2024-04-26T07:53:08Z
76.8432,8.601157,-7,2024/04/26 07:53:09+00,Longitude: 76.843200,Latitude: 8.601157,Altitude: 65.617 ft,Speed: 56.3 mph,Heading: 326.9,Time: 2024-04-26T07:53:09Z
76.843064,8.60134,-8,2024/04/26 07:53:10+00,Longitude: 76.843064,Latitude: 8.601340,Altitude: 68.570 ft,Speed: 56.6 mph,Heading: 323.9,Time: 2024-04-26T07:53:10Z
76.842932,8.601528,-9,2024/04/26 07:53:11+00,Longitude: 76.842932,Latitude: 8.601528,Altitude: 67.257 ft,Speed: 56.5 mph,Heading: 325.0,Time: 2024-04-26T07:53:11Z
76.842802,8.601717,-10,2024/04/26 07:53:12+00,Longitude: 76.842802,Latitude: 8.601717,Altitude: 67.585 ft,Speed: 56.1 mph,Heading: 325.8,Time: 2024-04-26T07:53:12Z
76.842671,8.601904,-11,2024/04/26 07:53:13+00,Longitude: 76.842671,Latitude: 8.601904,Altitude: 65.617 ft,Speed: 55.8 mph,Heading: 325.4,Time: 2024-04-26T07:53:13Z
76.842545,8.602094,-12,2024/04/26 07:53:14+00,Longitude: 76.842545,Latitude: 8.602094,Altitude: 63.648 ft,Speed: 55.0 mph,Heading: 326.9,Time: 2024-04-26T07:53:14Z
