lon,lat,track_seg_point_id,ele,time
76.45699733,9.819031167,0,,2024/04/26 10:52:59+00
76.45699733,9.819031167,1,-0.8,2024/04/26 10:53:00+00
76.45697817,9.819152667,2,-1.4,2024/04/26 10:53:01+00
76.456958,9.819274667,3,-1,2024/04/26 10:53:02+00
76.456936,9.819393833,4,-1.7,2024/04/26 10:53:03+00
76.45691117,9.8195145,5,-2,2024/04/26 10:53:04+00
76.45689133,9.819632333,6,-2.6,2024/04/26 10:53:05+00
76.45687083,9.819754,7,-2.3,2024/04/26 10:53:06+00
76.45685167,9.819874833,8,-2.1,2024/04/26 10:53:07+00
76.45682567,9.819993,9,-1.2,2024/04/26 10:53:08+00
76.45680233,9.8201105,10,-1.1,2024/04/26 10:53:09+00
76.45678017,9.82023,11,-0.7,2024/04/26 10:53:10+00
76.456758,9.82035,12,0,2024/04/26 10:53:11+00
76.45673617,9.82047,13,0,2024/04/26 10:53:12+00
76.456713,9.820588833,14,0.6,2024/04/26 10:53:13+00
76.45669167,9.820706833,15,0.5,2024/04/26 10:53:14+00
76.45666717,9.820823333,16,0.6,2024/04/26 10:53:15+00
76.456644,9.820938667,17,0.9,2024/04/26 10:53:16+00
76.456624,9.821052833,18,1.2,2024/04/26 10:53:17+00
76.45660717,9.821164833,19,0.4,2024/04/26 10:53:18+00
76.45658767,9.821275833,20,0.4,2024/04/26 10:53:19+00
76.45657133,9.8213875,21,0.7,2024/04/26 10:53:20+00
76.45655533,9.821498333,22,1.2,2024/04/26 10:53:21+00
76.45654083,9.82161,23,0.8,2024/04/26 10:53:22+00
76.45664183,9.8218415,24,24.9,2024/04/26 10:53:23+00
76.45662883,9.821928333,25,25.2,2024/04/26 10:53:24+00
76.45660733,9.822041667,26,25.4,2024/04/26 10:53:25+00
76.4565845,9.822144333,27,25.2,2024/04/26 10:53:26+00
76.45656367,9.822245833,28,24.9,2024/04/26 10:53:27+00
76.45654767,9.822349,29,25.5,2024/04/26 10:53:28+00
76.45653033,9.8224495,30,26.1,2024/04/26 10:53:29+00
76.4565145,9.822545,31,26.4,2024/04/26 10:53:30+00
76.45649833,9.822637833,32,26.7,2024/04/26 10:53:31+00
76.45647917,9.8227275,33,26.8,2024/04/26 10:53:32+00
76.45646,9.822814333,34,26.7,2024/04/26 10:53:33+00
76.45644383,9.822898667,35,27.1,2024/04/26 10:53:34+00
76.45642767,9.822980333,36,27.5,2024/04/26 10:53:35+00
76.456407,9.823059,37,27.3,2024/04/26 10:53:36+00
76.45638917,9.823135333,38,27,2024/04/26 10:53:37+00
76.45637417,9.823213833,39,27.2,2024/04/26 10:53:38+00
76.45635983,9.823292333,40,27.9,2024/04/26 10:53:39+00
76.45634717,9.823371333,41,28.7,2024/04/26 10:53:40+00
76.4563325,9.823446167,42,28.8,2024/04/26 10:53:41+00
76.45631983,9.823520667,43,29,2024/04/26 10:53:42+00
76.45630467,9.8235915,44,28.9,2024/04/26 10:53:43+00
76.45629233,9.823665333,45,28.9,2024/04/26 10:53:44+00
76.4562815,9.8237395,46,29.2,2024/04/26 10:53:45+00
76.45627217,9.823810833,47,29.3,2024/04/26 10:53:46+00
76.456261,9.823881,48,29.4,2024/04/26 10:53:47+00
76.45625083,9.8239495,49,29.3,2024/04/26 10:53:48+00
76.4562385,9.824021167,50,29.5,2024/04/26 10:53:49+00
76.4562285,9.824090833,51,29.6,2024/04/26 10:53:50+00
76.45621783,9.824160833,52,29.6,2024/04/26 10:53:51+00
76.45620317,9.824232833,53,30,2024/04/26 10:53:52+00
76.45619033,9.824303333,54,30.1,2024/04/26 10:53:53+00
76.4561785,9.824367667,55,30.1,2024/04/26 10:53:54+00
76.45616883,9.824432333,56,30.3,2024/04/26 10:53:55+00
76.45615917,9.824498167,57,31.2,2024/04/26 10:53:56+00
76.45615083,9.824565,58,31.1,2024/04/26 10:53:57+00
76.4561395,9.824631,59,31.3,2024/04/26 10:53:58+00
76.45612983,9.824697667,60,31.4,2024/04/26 10:53:59+00
76.45611917,9.824765667,61,31.7,2024/04/26 10:54:00+00
76.4561075,9.824832167,62,31.2,2024/04/26 10:54:01+00
76.45609517,9.824900833,63,31.3,2024/04/26 10:54:02+00
76.456084,9.8249665,64,31.9,2024/04/26 10:54:03+00
76.4560755,9.82503,65,32.1,2024/04/26 10:54:04+00
76.45606583,9.825092667,66,32.2,2024/04/26 10:54:05+00
76.4560535,9.825155333,67,32.3,2024/04/26 10:54:06+00
76.45604317,9.825217667,68,32.3,2024/04/26 10:54:07+00
76.45603033,9.8252815,69,32.5,2024/04/26 10:54:08+00
76.45601733,9.825343667,70,31.8,2024/04/26 10:54:09+00
76.45600783,9.825403,71,31.7,2024/04/26 10:54:10+00
76.45599717,9.825463,72,31.4,2024/04/26 10:54:11+00
76.455985,9.825520667,73,31,2024/04/26 10:54:12+00
76.45597017,9.825577333,74,30.1,2024/04/26 10:54:13+00
76.45595583,9.8256355,75,29.8,2024/04/26 10:54:14+00
76.45594483,9.8256955,76,29.6,2024/04/26 10:54:15+00
76.45593317,9.825755333,77,30.1,2024/04/26 10:54:16+00
76.4559215,9.825811333,78,30.3,2024/04/26 10:54:17+00
76.45591,9.825872833,79,30.5,2024/04/26 10:54:18+00
76.45590167,9.8259325,80,30.7,2024/04/26 10:54:19+00
76.45588867,9.8259875,81,30.8,2024/04/26 10:54:20+00
76.4558745,9.826043,82,31,2024/04/26 10:54:21+00
76.45586283,9.826098667,83,31,2024/04/26 10:54:22+00
76.455857,9.826152667,84,30.9,2024/04/26 10:54:23+00
76.45584833,9.826207167,85,31,2024/04/26 10:54:24+00
76.45584083,9.826261333,86,30.8,2024/04/26 10:54:25+00
76.45583683,9.826320833,87,31.7,2024/04/26 10:54:26+00
76.455834,9.826377667,88,32.1,2024/04/26 10:54:27+00
76.4558265,9.8264255,89,30.4,2024/04/26 10:54:28+00
76.455837,9.8264785,90,28.5,2024/04/26 10:54:29+00
76.45581633,9.826534333,91,29.6,2024/04/26 10:54:30+00
76.45581517,9.826584167,92,29.4,2024/04/26 10:54:31+00
76.45580117,9.8266335,93,29.7,2024/04/26 10:54:32+00
76.45579667,9.826683667,94,29.9,2024/04/26 10:54:33+00
76.4558115,9.826707,95,29.9,2024/04/26 10:54:34+00
76.45581467,9.826750667,96,29.9,2024/04/26 10:54:35+00
76.4558095,9.826798167,97,30,2024/04/26 10:54:36+00
76.4557995,9.826856667,98,31,2024/04/26 10:54:37+00
76.45577933,9.826918833,99,32.7,2024/04/26 10:54:38+00
76.45576883,9.826972833,100,33.4,2024/04/26 10:54:39+00
76.455757,9.827016833,101,32.3,2024/04/26 10:54:40+00
76.455749,9.82706,102,31.3,2024/04/26 10:54:41+00
76.455739,9.8271055,103,29.8,2024/04/26 10:54:42+00
76.455729,9.827149667,104,29.2,2024/04/26 10:54:43+00
76.455722,9.827190833,105,28.2,2024/04/26 10:54:44+00
76.45571317,9.827232167,106,27,2024/04/26 10:54:45+00
76.45572083,9.827274167,107,26.2,2024/04/26 10:54:46+00
76.4557145,9.827318833,108,26.5,2024/04/26 10:54:47+00
76.45570783,9.8273645,109,27.3,2024/04/26 10:54:48+00
76.4556995,9.827407,110,27.4,2024/04/26 10:54:49+00
76.45569817,9.8274575,111,29.4,2024/04/26 10:54:50+00
76.45568883,9.8274965,112,29.1,2024/04/26 10:54:51+00
76.45568233,9.827539167,113,29.7,2024/04/26 10:54:52+00
76.455672,9.827581167,114,29.6,2024/04/26 10:54:53+00
76.455666,9.827624833,115,30.3,2024/04/26 10:54:54+00
76.45566267,9.827670333,116,31,2024/04/26 10:54:55+00
76.4556535,9.827715,117,31.1,2024/04/26 10:54:56+00
76.455645,9.827759,118,31.4,2024/04/26 10:54:57+00
76.45564067,9.827803167,119,32.1,2024/04/26 10:54:58+00
76.455629,9.827852167,120,32.7,2024/04/26 10:54:59+00
76.4556185,9.827903,121,34.7,2024/04/26 10:55:00+00
76.4556105,9.827945167,122,34.1,2024/04/26 10:55:01+00
76.45560533,9.827991333,123,33.8,2024/04/26 10:55:02+00
76.45559633,9.8280465,124,34.7,2024/04/26 10:55:03+00
76.455583,9.828101833,125,35,2024/04/26 10:55:04+00
76.4555705,9.8281575,126,35,2024/04/26 10:55:05+00
76.4555575,9.828216167,127,35.4,2024/04/26 10:55:06+00
76.45555167,9.828255667,128,35.7,2024/04/26 10:55:07+00
76.45554883,9.828284,129,34.7,2024/04/26 10:55:08+00
76.45552983,9.828286333,130,28.3,2024/04/26 10:55:09+00
76.4555215,9.828294333,131,30.4,2024/04/26 10:55:10+00
76.45552583,9.828292167,132,30.8,2024/04/26 10:55:11+00
76.45558267,9.828277833,133,21.4,2024/04/26 10:55:12+00
76.4556175,9.82826,134,16.3,2024/04/26 10:55:13+00
76.45562083,9.828282167,135,23,2024/04/26 10:55:14+00
76.45562817,9.828316333,136,22.7,2024/04/26 10:55:15+00
76.455627,9.828324,137,29.3,2024/04/26 10:55:16+00
76.45566117,9.8282885,138,28,2024/04/26 10:55:17+00
76.45568967,9.828261333,139,18.9,2024/04/26 10:55:18+00
76.45572683,9.828234167,140,13.8,2024/04/26 10:55:19+00
76.455737,9.828389167,141,36.7,2024/04/26 10:55:20+00
76.4556955,9.8285065,142,39.2,2024/04/26 10:55:21+00
