time,alt
1900/01/01 07:53:03+00,21.7
1900/01/01 07:53:04+00,20.9
1900/01/01 07:53:05+00,20.8
1900/01/01 07:53:06+00,20.6
1900/01/01 07:53:07+00,20.0
1900/01/01 07:53:08+00,20.0
1900/01/01 07:53:09+00,20.9
1900/01/01 07:53:10+00,20.5
1900/01/01 07:53:11+00,20.6
1900/01/01 07:53:12+00,20.0
1900/01/01 07:53:13+00,19.4
1900/01/01 07:53:14+00,19.3
1900/01/01 07:53:15+00,19.1
1900/01/01 07:53:16+00,18.9
1900/01/01 07:53:17+00,19.0
1900/01/01 07:53:18+00,19.0
1900/01/01 07:53:19+00,19.0
1900/01/01 07:53:20+00,19.5
1900/01/01 07:53:21+00,19.6
1900/01/01 07:53:22+00,19.5
1900/01/01 07:53:23+00,20.0
1900/01/01 07:53:24+00,20.2
1900/01/01 07:53:25+00,20.2
1900/01/01 07:53:26+00,20.3
1900/01/01 07:53:27+00,21.8
1900/01/01 07:53:28+00,21.3
1900/01/01 07:53:29+00,21.6
1900/01/01 07:53:30+00,21.4
1900/01/01 07:53:31+00,21.3
1900/01/01 07:53:32+00,21.7
1900/01/01 07:53:33+00,21.4
1900/01/01 07:53:34+00,21.2
1900/01/01 07:53:35+00,21.8
1900/01/01 07:53:36+00,22.9
1900/01/01 07:53:37+00,23.3
1900/01/01 07:53:38+00,24.1
1900/01/01 07:53:39+00,24.3
1900/01/01 07:53:40+00,24.6
1900/01/01 07:53:41+00,24.7
1900/01/01 07:53:42+00,24.6
1900/01/01 07:53:43+00,25.3
1900/01/01 07:53:44+00,25.5
1900/01/01 07:53:45+00,25.6
1900/01/01 07:53:46+00,26.4
1900/01/01 07:53:47+00,26.9
1900/01/01 07:53:48+00,27.4
1900/01/01 07:53:49+00,27.1
1900/01/01 07:53:50+00,27.1
1900/01/01 07:53:51+00,26.9
1900/01/01 07:53:52+00,27.2
1900/01/01 07:53:53+00,27.8
1900/01/01 07:53:54+00,28.3
1900/01/01 07:53:55+00,28.9
1900/01/01 07:53:56+00,29.5
1900/01/01 07:53:57+00,29.1
1900/01/01 07:53:58+00,29.3
1900/01/01 07:53:59+00,29.3
1900/01/01 07:54:00+00,28.7
1900/01/01 07:54:01+00,29.1
1900/01/01 07:54:02+00,29.8
1900/01/01 07:54:03+00,30.4
1900/01/01 07:54:04+00,30.7
1900/01/01 07:54:05+00,30.6
1900/01/01 07:54:06+00,30.2
1900/01/01 07:54:07+00,30.0
1900/01/01 07:54:08+00,29.5
1900/01/01 07:54:09+00,29.0
1900/01/01 07:54:10+00,29.0
1900/01/01 07:54:11+00,29.4
1900/01/01 07:54:12+00,29.2
1900/01/01 07:54:13+00,28.5
1900/01/01 07:54:14+00,28.0
1900/01/01 07:54:15+00,28.1
1900/01/01 07:54:16+00,28.8
1900/01/01 07:54:17+00,29.8
1900/01/01 07:54:18+00,29.8
1900/01/01 07:54:19+00,29.6
1900/01/01 07:54:20+00,29.8
1900/01/01 07:54:21+00,29.9
1900/01/01 07:54:22+00,29.6
1900/01/01 07:54:23+00,29.4
1900/01/01 07:54:24+00,28.9
1900/01/01 07:54:25+00,28.3
1900/01/01 07:54:26+00,27.5
1900/01/01 07:54:27+00,27.2
1900/01/01 07:54:28+00,26.8
1900/01/01 07:54:29+00,26.6
1900/01/01 07:54:30+00,26.3
1900/01/01 07:54:31+00,26.3
1900/01/01 07:54:32+00,25.8
1900/01/01 07:54:33+00,25.5
1900/01/01 07:54:34+00,25.1
1900/01/01 07:54:35+00,24.2
1900/01/01 07:54:36+00,23.4
1900/01/01 07:54:37+00,23.3
1900/01/01 07:54:38+00,22.8
